date,open,high,low,close
2022-02-24 09:31:00,715.81,724.7989,710.2901,724.31
2022-02-24 09:30:00,700.39,716.765,700.0,716.345
2022-02-23 16:00:00,764.04,764.88,761.0,764.0
2022-02-23 15:59:00,764.65,764.65,763.26,763.99
2022-02-23 15:58:00,763.05,765.14,763.04,764.81
2022-02-23 15:57:00,764.04,764.165,762.8601,762.98
2022-02-23 15:56:00,764.47,765.11,764.02,764.113
2022-02-23 15:55:00,764.86,766.39,764.2101,764.68
2022-02-23 15:54:00,765.7113,766.41,764.645,764.8681
2022-02-23 15:53:00,767.0,767.46,765.47,765.9999
2022-02-23 15:52:00,765.04,768.22,764.77,766.829
2022-02-23 15:51:00,764.835,765.46,763.2,765.06
2022-02-23 15:50:00,763.12,764.95,762.0,764.95
2022-02-23 15:49:00,762.245,763.9652,762.245,763.3399
2022-02-23 15:48:00,761.9,762.4357,761.25,762.35
2022-02-23 15:47:00,760.75,762.7499,760.62,761.93
2022-02-23 15:46:00,765.2468,765.2961,760.56,760.6201
2022-02-23 15:45:00,764.1601,767.22,764.1001,765.3544
2022-02-23 15:44:00,766.295,766.295,764.1,764.2713
2022-02-23 15:43:00,766.02,766.6722,765.28,766.31
2022-02-23 15:42:00,766.75,767.02,766.01,766.08
2022-02-23 15:41:00,768.5,768.5,766.75,766.75
2022-02-23 15:40:00,767.51,769.2,767.2701,768.78
2022-02-23 15:39:00,769.025,769.39,767.36,767.7399
2022-02-23 15:38:00,769.1875,770.82,768.85,768.8858
2022-02-23 15:37:00,770.3365,770.38,768.49,769.182
2022-02-23 15:36:00,770.6,770.83,769.328,770.83
2022-02-23 15:35:00,771.545,773.2,770.715,770.715
2022-02-23 15:34:00,770.921,771.7699,770.4068,771.325
2022-02-23 15:33:00,770.9075,772.66,770.54,771.1
2022-02-23 15:32:00,771.96,771.96,770.6901,771.0
2022-02-23 15:31:00,772.9,774.1,771.57,771.98
2022-02-23 15:30:00,772.27,772.9,771.0,772.65
2022-02-23 15:29:00,771.815,772.86,771.46,772.37
2022-02-23 15:28:00,770.684,772.74,770.684,772.085
2022-02-23 15:27:00,771.25,772.24,770.4,770.97
2022-02-23 15:26:00,769.785,771.4938,769.6301,771.17
2022-02-23 15:25:00,768.82,770.17,768.1101,769.86
2022-02-23 15:24:00,767.7878,769.76,767.225,768.9499
2022-02-23 15:23:00,767.8,768.5023,766.56,767.48
2022-02-23 15:22:00,767.557,769.0,767.4,768.095
2022-02-23 15:21:00,768.0845,768.19,766.91,767.3
2022-02-23 15:20:00,767.71,768.88,767.04,767.9801
2022-02-23 15:19:00,769.23,770.1899,767.2901,767.39
2022-02-23 15:18:00,771.1443,771.71,768.58,769.1044
2022-02-23 15:17:00,769.35,771.48,769.35,771.2763
2022-02-23 15:16:00,768.655,769.68,767.3301,769.132
